,precision,recall,f1-score,support
Apple,0.99875,1.0,0.9993746091307066,799.0
Blueberry,0.9971264367816092,0.9971264367816092,0.9971264367816092,348.0
Cherry,1.0,1.0,1.0,460.0
Corn,0.9966254218222722,1.0,0.9983098591549295,886.0
Grape,0.9989888776541962,1.0,0.9994941831057157,988.0
Orange,1.0,0.9992254066615027,0.9996125532739248,1291.0
Peach,1.0,0.9983974358974359,0.9991980753809142,624.0
"Pepper,",1.0,1.0,1.0,637.0
Potato,0.9981203007518797,0.9962476547842402,0.9971830985915493,533.0
Raspberry,1.0,1.0,1.0,90.0
Soybean,0.9991701244813278,0.9983416252072969,0.9987557030277893,1206.0
Squash,1.0,1.0,1.0,451.0
Strawberry,1.0,1.0,1.0,354.0
Tomato,0.9993127147766323,0.9990838295923041,0.9991982590768526,4366.0
accuracy,0.9991559886442108,0.9991559886442108,0.9991559886442108,0.9991559886442108
macro avg,0.9991495625905655,0.9991730277803136,0.9991609126802851,13033.0
weighted avg,0.999156678277978,0.9991559886442108,0.9991559943727327,13033.0
